brand,product_name,category,sub_category,features,reviews,skin_type,price
바이탈뷰티,바이탈뷰티 이너뷰티 제품 1,뷰티푸드,이너뷰티,항산화,가성비가 좋다는 의견이 많음,건성,85000
에이피뷰티,에이피뷰티 페이스 제품 2,메이크업,페이스,피부톤 보정,가성비가 좋다는 의견이 많음,복합성,145000
아모레베이직,아모레베이직 페이스 제품 3,메이크업,페이스,자연스러운 커버,재구매율이 높은 제품,민감성,12000
에스트라,에스트라 구강 제품 4,생활용품,구강,구취 제거,향과 사용감에 대한 만족도가 높음,민감성,30000
한율,한율 모이스처라이징 제품 5,스킨 케어,모이스처라이징,고보습,가성비가 좋다는 의견이 많음,복합성,28000
아모레베이직,아모레베이직 네일 제품 6,메이크업,네일,빠른 건조,향과 사용감에 대한 만족도가 높음,지성,135000
이니스프리,이니스프리 헤어케어 제품 7,남성,헤어케어,저자극,향과 사용감에 대한 만족도가 높음,건성,77000
바이탈뷰티,바이탈뷰티 립 제품 8,메이크업,립,선명한 발색,재구매율이 높은 제품,지성,80000
마몽드,마몽드 메이크업 제품 9,남성,메이크업,저자극,재구매율이 높은 제품,지성,130000
오설록,오설록 아이 제품 10,메이크업,아이,롱래스팅,재구매율이 높은 제품,복합성,145000
오설록,오설록 썬/BB 크림 제품 11,남성,썬/BB 크림,저자극,향과 사용감에 대한 만족도가 높음,모든 피부,42000
롱테이크,롱테이크 스킨/바디 케어 제품 12,베이비,스킨/바디 케어,저자극,향과 사용감에 대한 만족도가 높음,지성,43000
프리메라,프리메라 팩마스크 제품 13,남성,팩마스크,저자극,효과 체감이 빠르다는 리뷰 다수,복합성,51000
라네즈,라네즈 이너뷰티 제품 14,뷰티푸드,이너뷰티,피부 건강 개선,향과 사용감에 대한 만족도가 높음,모든 피부,67000
마몽드,마몽드 이너뷰티 제품 15,뷰티푸드,이너뷰티,피부 건강 개선,가성비가 좋다는 의견이 많음,민감성,96000
에이피뷰티,에이피뷰티 클렌져 제품 16,남성,클렌져,데일리 사용,가성비가 좋다는 의견이 많음,모든 피부,124000
아모레베이직,아모레베이직 스킨/바디 케어 제품 17,베이비,스킨/바디 케어,데일리 사용,자극 없이 순하다는 평가가 많음,민감성,58000
설화수,설화수 스페셜 케어 제품 18,스킨 케어,스페셜 케어,미백 기능성,효과 체감이 빠르다는 리뷰 다수,건성,56000
설화수,설화수 헤어케어 제품 19,남성,헤어케어,저자극,자극 없이 순하다는 평가가 많음,민감성,28000
한율,한율 클렌징 제품 20,스킨 케어,클렌징,보습 유지,향과 사용감에 대한 만족도가 높음,지성,145000
이니스프리,이니스프리 클렌져 제품 21,남성,클렌져,저자극,자극 없이 순하다는 평가가 많음,민감성,57000
라네즈,라네즈 이너뷰티 제품 22,뷰티푸드,이너뷰티,항산화,효과 체감이 빠르다는 리뷰 다수,모든 피부,147000
